sid,sx,sy,eid,ex,ey,num,team,time
216,118.2034853,24.4949429,212,118.2020267,24.49494015,12,396,3
216,118.2034853,24.4949429,236,118.203781,24.49246709,199,397,3
255,118.1945341,24.49405849,199,118.1946976,24.49528905,235,401,3
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,416,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,143,421,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,163,423,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,36,424,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,163,425,3
142,118.1958249,24.50185552,152,118.1965815,24.5002015,36,426,3
209,118.2008385,24.4956138,208,118.2006286,24.49690385,151,430,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,235,434,3
222,118.2056634,24.49591626,189,118.2051552,24.49744462,105,443,3
222,118.2056634,24.49591626,189,118.2051552,24.49744462,105,444,3
141,118.1993983,24.50203491,156,118.1994072,24.50050697,235,447,3
141,118.1993983,24.50203491,156,118.1994072,24.50050697,235,448,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,126,452,3
408,118.1927202,24.47744438,406,118.1912565,24.47807006,72,455,3
222,118.2056634,24.49591626,189,118.2051552,24.49744462,122,460,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,126,466,3
39,118.1996098,24.50650354,123,118.1994763,24.50495817,235,475,3
626,118.1924027,24.51099427,11,118.1921252,24.51028951,37,478,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,502,3
101,118.2042224,24.50782179,102,118.2043085,24.50694379,199,503,3
26,118.1946378,24.51064543,25,118.1960842,24.51082948,36,504,3
26,118.1946378,24.51064543,25,118.1960842,24.51082948,235,505,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,70,506,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,235,522,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,235,523,3
409,118.194148,24.48017916,402,118.1925597,24.48081353,235,534,3
626,118.1924027,24.51099427,11,118.1921252,24.51028951,2,539,3
67,118.1978258,24.51630896,66,118.198525,24.51599731,70,553,3
