id,sid,sx,sy,eid,ex,ey,num,time,max
489,244,118.198852,24.49087384,278,118.1964804,24.49125042,764,44,1008
434,255,118.1945341,24.49405849,199,118.1946976,24.49528905,1880,44,1713
440,259,118.1945043,24.49211796,255,118.1945341,24.49405849,1880,44,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,70,44,856
1058,277,118.1947334,24.49136427,278,118.1964804,24.49125042,705,44,856
488,278,118.1964804,24.49125042,244,118.198852,24.49087384,705,44,1008
1057,278,118.1964804,24.49125042,277,118.1947334,24.49136427,749,44,856
495,279,118.19413,24.4902268,280,118.1938897,24.48882923,280,44,1008
494,280,118.1938897,24.48882923,279,118.19413,24.4902268,1065,44,1008
503,280,118.1938897,24.48882923,283,118.1933238,24.48748071,703,44,1008
502,283,118.1933238,24.48748071,280,118.1938897,24.48882923,940,44,1008
658,351,118.1932078,24.48599548,352,118.1948672,24.48532282,199,44,1008
659,354,118.19802,24.48397351,353,118.1957568,24.48495669,1206,44,1008
689,362,118.2003233,24.48239022,363,118.1995556,24.48106168,164,44,856
771,382,118.1915082,24.48390213,396,118.1907993,24.48244597,322,44,856
746,384,118.1918336,24.48386186,383,118.192428,24.48524636,705,44,1008
773,384,118.1918336,24.48386186,397,118.1907795,24.48161194,1103,44,856
759,390,118.1940636,24.48394469,391,118.1937282,24.48305447,457,44,554
763,391,118.1937282,24.48305447,392,118.193125,24.48200444,199,44,705
768,395,118.196897,24.48179809,354,118.19802,24.48397351,1286,44,856
772,397,118.1907795,24.48161194,384,118.1918336,24.48386186,705,44,856
836,419,118.1956802,24.47951568,409,118.194148,24.48017916,28,44,1008
470,32,118.1959306,24.50821225,31,118.1961226,24.5096796,5012,45,2016
1430,87,118.2023423,24.51144584,48,118.2010099,24.51102113,199,45,1285
121,143,118.1943111,24.50197753,142,118.1958249,24.50185552,1574,45,856
141,152,118.1965815,24.5002015,142,118.1958249,24.50185552,2040,45,856
155,156,118.1994072,24.50050697,141,118.1993983,24.50203491,1339,45,1008
153,156,118.1994072,24.50050697,152,118.1965815,24.5002015,706,45,1008
289,196,118.1988556,24.49614206,204,118.1992565,24.49380775,364,45,856
281,198,118.1951292,24.49700371,199,118.1946976,24.49528905,210,45,1411
435,199,118.1946976,24.49528905,255,118.1945341,24.49405849,210,45,1713
288,204,118.1992565,24.49380775,196,118.1988556,24.49614206,2007,45,856
441,255,118.1945341,24.49405849,259,118.1945043,24.49211796,140,45,1713
444,260,118.1948307,24.49400823,258,118.1947818,24.49212855,129,45,856
658,351,118.1932078,24.48599548,352,118.1948672,24.48532282,72,45,1008
657,352,118.1948672,24.48532282,351,118.1932078,24.48599548,1206,45,1008
